loci,loci_ampl_rate_Total,loci_ampl_rate_Municipality.2,loci_ampl_rate_Municipality.1,loci_ampl_rate_Municipality.3,loci_ampl_rate_Municipality.4,loci_ampl_rate_Municipality.5
PF3D7_0103600,0.713846153846154,0.760504201680672,0.775831873905429,0.630630630630631,0.833333333333333,0.310344827586207
PF3D7_0104100_1,0.871538461538462,0.848739495798319,0.866900175131349,0.923423423423423,0.944444444444444,0.310344827586207
PSOP24,0.938461538461538,0.899159663865546,0.94045534150613,0.97972972972973,0.944444444444444,0.586206896551724
PF3D7_0207300,0.87,0.857142857142857,0.866900175131349,0.923423423423423,0.944444444444444,0.172413793103448
PfSERA3,0.78,0.718487394957983,0.770577933450088,0.864864864864865,0.944444444444444,0.0689655172413793
PfSERA2_1,0.919230769230769,0.88655462184874,0.914185639229422,0.972972972972973,0.944444444444444,0.448275862068966
PF3D7_0211700,0.923846153846154,0.890756302521008,0.926444833625219,0.968468468468468,0.944444444444444,0.448275862068966
PF3D7_0220800,0.652307692307692,0.46218487394958,0.851138353765324,0.522522522522523,0.5,0.379310344827586
PfCSP_1,0.823846153846154,0.760504201680672,0.817863397548161,0.90990990990991,0.944444444444444,0.0689655172413793
B9,0.926923076923077,0.903361344537815,0.93169877408056,0.966216216216216,0.944444444444444,0.413793103448276
PF3D7_0401900,0.883846153846154,0.88235294117647,0.884413309982487,0.916666666666667,0.944444444444444,0.344827586206897
Pfs16,0.933846153846154,0.899159663865546,0.935201401050788,0.972972972972973,0.944444444444444,0.586206896551724
PF3D7_0411900_1,0.925384615384615,0.907563025210084,0.921190893169877,0.966216216216216,0.944444444444444,0.517241379310345
PF3D7_0411900_2,0.893076923076923,0.865546218487395,0.880910683012259,0.954954954954955,0.944444444444444,0.379310344827586
PfDHFR_1,0.919230769230769,0.894957983193277,0.919439579684764,0.968468468468468,0.944444444444444,0.344827586206897
PfDHFR_2,0.905384615384615,0.88235294117647,0.900175131348511,0.959459459459459,0.944444444444444,0.344827586206897
PF3D7_0419900_2,0.929230769230769,0.88655462184874,0.924693520140105,0.984234234234234,0.944444444444444,0.517241379310345
PF3D7_0422500,0.909230769230769,0.878151260504202,0.905429071803853,0.961711711711712,0.944444444444444,0.413793103448276
PF3D7_0424400,0.653846153846154,0.504201680672269,0.712784588441331,0.698198198198198,0.722222222222222,0
